RADIO LISTENING,A ASCULTA LA RADIO
SOCIOLOGY,SOCIOLOGIE
EDUCATIONAL SOCIOLOGY,SOCIOLOGIE EDUCAȚIONALĂ
RURAL SOCIOLOGY,SOCIOLOGIE RURALĂ
URBAN SOCIOLOGY,SOCIOLOGIE URBANĂ
SOCIOMETRY,SOCIOMETRIE
SPOUSES,SOȚI SAU SOȚII
ALTERNATIVE DISPUTE RESOLUTION (ADR),SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR
CONFLICT RESOLUTION,SOLUȚIONAREA CONFLICTULUI
REDRESS OF GRIEVANCES,SOLUȚIONAREA PLÂNGERILOR
SUMMONS,SOMAȚII
SLEEP,SOMN
SURVEYS,SONDAJE
PUBLIC OPINION POLLS,SONDAJE DE OPINIE PUBLICĂ
EXIT POLLS,SONDAJE LA IEȘIREA DE LA URNE
URBAN SPACES,SPAȚII URBANE
SPECIALISTS,SPECIALIȘTI
SPECIALIZATION,SPECIALIZARE
MEDICAL SPECIALITIES,SPECIALIZĂRI MEDICALE
SPORT SPECTATORSHIP,SPECTATORII SPORTULUI
LIFE EXPECTANCY,SPERANȚĂ DE VIAȚĂ LA NAȘTERE
PERJURY,SPERJUR
SPINA BIFIDA,SPINA BIFIDA
SPIRITUALISM,SPIRITISM
HOSPITALIZATION,SPITALIZARE
SPORT,SPORT
SPORTS AND LEISURE EDUCATION,"SPORT, EDUCAȚIE FIZICĂ ȘI DE PETRECERE A TIMPULUI LIBER"
SPORTSPERSONS,SPORTIVI
WATER SPORTS,SPORTURI ACVATICE
AERIAL SPORTS,SPORTURI AERIENE
ATHLETICS,SPORTURI ATLETICE
COMBATIVE SPORTS,SPORTURI COMBATIVE
MOTOR SPORTS,SPORTURI CU MOTOR
WINTER SPORTS,SPORTURI DE IARNĂ
INDOOR SPORTS,SPORTURI DE INTERIOR
EQUESTRIAN SPORTS,SPORTURI ECVESTRE
BLOOD SPORTS,SPORTURI SÂNGEROASE
PROBATE,STABILIREA AUTENTICITĂȚII UNUI TESTAMENT
GOAL SETTING,STABILIREA OBIECTIVELOR
WAGE DETERMINATION,STABILIREA SALARIILOR
TRAINEES,STAGIARI
ELECTRIC POWER STATIONS,STAȚII DE ENERGIE ELECTRICĂ
STANDARDIZATION,STANDARDIZARE
EMOTIONAL STATES,STĂRI EMOȚIONALE
UNITARY STATE,STAT UNITAR
STATISTICS,STATISTICĂ
DEMOGRAPHIC STATISTICS,STATISTICĂ DEMOGRAFICĂ
DESCRIPTIVE STATISTICS,STATISTICĂ DESCRIPTIVĂ
SUPERVISORY STATUS,STATUT DE COORDONATOR
LEGAL STATUS,STATUT JURIDIC
MARITAL STATUS,STATUT MARITAL
OCCUPATIONAL STATUS,STATUT OCUPAȚIONAL
SOCIAL STATUS,STATUT SOCIAL
SOCIO-ECONOMIC STATUS,STATUT SOCIO-ECONOMIC
TEACHER STATUS,STATUTUL CADRELOR DIDACTICE
STATUS IN EMPLOYMENT,STATUTUL PE PIAȚA FORȚEI DE MUNCĂ
STERILIZATION (SEX),STERILIZARE (SEX)
LIFE STYLES,STILURI DE VIAȚĂ
SELF-ESTEEM,STIMĂ DE SINE
INCENTIVES,STIMULENTE
FINANCIAL INCENTIVES,STIMULENTE FINANCIARE
RETURN-TO-WORK INCENTIVES,STIMULENTE PENTRU ÎNTOARCEREA ÎN CÂMPUL MUNCII
DENTISTS,STOMATOLOGI
FOREIGNERS,STRĂINI
CAPITAL RAISING,STRÂNGERE DE CAPITAL
FUND-RAISING,STRÂNGERI DE FONDURI
EVIDENCE GATHERING,STRÂNGERI DE PROBE
STRATEGIES,STRATEGIES
SOCIAL STRATIFICATION,STRATIFICARE
MARKET STRUCTURE,STRUCTURA PIEȚEI ECONOMICE
SOCIAL STRUCTURE,STRUCTURĂ SOCIALĂ
STRUCTURES,STRUCTURI
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE
NEIGHBOURHOOD WATCH SCHEMES,STRUCTURI DE SECURITATE PROPRIE A COMUNITĂȚILOR
STUDENTS,STUDENȚI
STUDENTS (COLLEGE),"STUDENȚI (UNIVERSITĂȚI, COLEGII, EDUCAȚIE TERȚIARĂ)"
UNDERGRADUATES,STUDENȚI NELICENȚIAȚI
FOREIGN STUDENTS,STUDENȚI STRĂINI
GIFTED STUDENTS,STUDENȚI TALENTAȚI
CROSS-SECTIONAL STUDY,STUDII CROS-SECȚIONALE
CULTURAL STUDIES,STUDII CULTURALE
BUSINESS AND ADMINISTRATION STUDIES,STUDII DE ADMINISTRAȚIE ȘI AFACERI
COMMUNICATION AND INFORMATION STUDIES,STUDII DE COMUNICARE ȘI INFORMAȚII
JOURNALISM STUDIES,STUDII DE JURNALISM
HUMAN RIGHTS STUDIES,STUDII ÎN DOMENIUL DREPTURILOR OMULUI
PEACE AND CONFLICT STUDIES,STUDII ÎN DOMENIUL PĂCII ȘI AL CONFLICTELOR
MEDIA STUDIES,STUDII MEDIA
LONGITUDINAL STUDY,STUDIU LONGITUDINAL
FOREIGN LANGUAGES AND CULTURES EDUCATION,STUDIUL CULTURILOR ȘI AL LIMBILOR STRĂINE
WORK STUDY,STUDIUL MUNCII
SUBCONTRACTING,SUBCONTRACTARE
SUBCULTURES,SUBCULTURI
SUBMARINES,SUBMARINE
MALNUTRITION,SUBNUTRIȚIE
SUBURBS,SUBURBII
SUBSIDIES,SUBVENȚII
AGRICULTURAL SUBSIDIES,SUBVENȚII AGRICOLE
SOCIAL SUCCESS,SUCCES SOCIAL
WOMEN'S SUFFRAGE,SUFRAGIUL FEMEILOR
INFANTS,SUGARI
SUPERSTITION,SUPERSTIȚIE
SUPERVISION,SUPERVIZARE
SUPERVISORS,SUPERVIZORI
TEACHING AIDS,SUPORT DE CURS
SOCIAL SUPPORT,SUPORT SOCIAL
FOOTBALL TEAM SUPPORTERS,SUPORTERI AI UNEI ECHIPE DE FOTBAL
SUPERNATURAL,SUPRANATURAL
OVERPOPULATION,SUPRAPOPULARE
EDUCATIONAL SUPERVISION,SUPRAVEGHERE DIDACTICĂ
PARENTAL SUPERVISION,SUPRAVEGHERE PARENTALĂ
TEACHER SUPERVISION,SUPRAVEGHEREA CADRELOR DIDACTICE
CHILD-MINDING,SUPRAVEGHEREA COPILULUI
FOOD SURPLUSES,SURPLUSURI ALIMENTARE
WATER SOURCES,SURSE DE APĂ
INFORMATION SOURCES,SURSE DE INFORMAȚII
POLITICAL SUPPORT,SUSȚINERE POLITICĂ
SOVEREIGNTY,SUVERANITATE
HOLIDAY CAMPS,TABERE DE VACANȚĂ
FATHERS,TAȚI
ROBBERY,TÂLHĂRIE
FAIRS,TÂRGURI
WATER RATES,TARIFE PE APĂ
CEILINGS,TAVANE
ROAD TAX,TAXĂ DE DRUM
CONSUMPTION TAX,TAXĂ PE CONSUM
FEES,TAXE
EDUCATIONAL FEES,TAXE DE ÎNVĂȚĂMÂNT
TAXATION,TAXE ȘI IMPOZITE
LEGAL COSTS,TAXE ȘI TARIFE LEGALE
IMPORT TAXES,TAXE VAMALE
FEAR OF CRIME,TEAMĂ DE CRIMINALITATE
THEATRE,TEATRU
MANAGEMENT TECHNIQUES,TEHNICI DE GESTIUNE
TECHNICIANS,TEHNICIENI
INFORMATION AND COMMUNICATIONS TECHNOLOGY,TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR
TECHNOLOGY,TEHNOLOGIE
TELECOMMUNICATIONS,TELECOMUNICAȚII
TELEGRAPHY,TELEGRAFIE
TELETEXT,TELETEXT
TELEVISION,TELEVIZIUNE
EDUCATIONAL TELEVISION,TELEVIZIUNE EDUCAȚIONALĂ
CABLE TELEVISION,TELEVIZIUNE PRIN CABLU
SATELLITE TELEVISION,TELEVIZIUNE PRIN SATELIT
DIGITAL TELEVISION,TELEVIZUNE DIGITALĂ
TELEX,TELEX
TEMPERATURE,TEMPERATURĂ
WATER TEMPERATURE,TEMPERATURA APEI
ATMOSPHERIC TEMPERATURE,TEMPERATURĂ ATMOSFERICĂ
INTERNATIONAL TENSION,TENSIUNE INTERNAȚIONALĂ
GAME THEORY,TEORIA JOCURILOR
PROBABILITY THEORY,TEORIA PROBABILITĂȚILOR
ECONOMIC THEORY,TEORIE ECONOMICĂ
POLITICAL THEORY,TEORIE POLITICĂ
HORMONE REPLACEMENT THERAPY,TERAPIE DE SUBSTITUȚIE HORMONALĂ
GENE THERAPY,TERAPIE GENETICĂ
OCCUPATIONAL THERAPY,TERAPIE PROFESIONALĂ
COMPLEMENTARY THERAPIES,TERAPII COMPLEMENTARE
GOLF COURSES,TERENURI DE GOLF
PLAYING FIELDS,TERENURI DE JOACĂ
OCCUPIED TERRITORIES,TERITORII OCUPATE
TERRORISM,TERORISM
BREATHALYSER TESTING,TESTARE CU ETILOMETRU
TESTS,TESTE
HEARING TESTS,TESTE AUDITIVE
APTITUDE TESTS,TESTE DE APTITUDINI
READING TESTS,TESTE DE CITIRE
INTELLIGENCE TESTS,TESTE DE INTELIGENȚĂ
EYESIGHT TESTS,TESTE DE VEDERE
EDUCATIONAL TESTS,TESTE EDUCAȚIONALE
PSYCHOLOGICAL TESTS,TESTE PSIHOLOGICE
UNDESCENDED TESTICLES,TESTICULE NECOBORÂTE
TEXTILES,TEXTILE
SCIENCE,ȘTIINȚĂ
COMPUTER SCIENCE,ȘTIINȚA CALCULATOARELOR
SCIENCE AND TECHNOLOGY,ȘTIINȚĂ ȘI TEHNOLOGIE
BEHAVIOURAL SCIENCES,ȘTIINȚE COMPORTAMENTALE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE
SOCIAL SCIENCES,ȘTIINȚE SOCIALE
EDUCATION SCIENCE,ȘTIINȚELE EDUCAȚIEI
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI
EARTH SCIENCES,ȘTIINȚELE PĂMÂNTULUI
LIFE SCIENCES,ȘTIINȚELE VIEȚII
TIME,TIMP
HOURS OF WORK,TIMP DE MUNCĂ
LEISURE TIME,TIMP LIBER
YOUTH,TINERI
TINNITUS,TINITUS
SKIN TYPES,TIPURI DE PIELE
NEWS,ȘTIRI
TELEVISION NEWS,ȘTIRI DE TELEVIZIUNE
RADIO NEWS,ȘTIRI RADIO
TOLERANCE,TOLERANȚĂ
TOTALITARIANISM,TOTALITARISM
LIVESTOCK,TOTALITATEA ANIMALELOR DINTR-O GOSPODĂRIE
TOXICOLOGY,TOXICOLOGIE
TRADITIONALISM,TRADIȚIONALISM
TRANSLATION,TRADUCERE
TRAFFIC,TRAFIC
AIR TRAFFIC,TRAFIC AERIAN
DRUG TRAFFICKING,TRAFIC DE DROGURI
HUMAN TRAFFICKING,TRAFIC DE PERSOANE
RAIL TRAFFIC,TRAFIC FEROVIAR
MARINE TRAFFIC,TRAFIC MARITIM
ROAD TRAFFIC,TRAFIC RUTIER
TRAMS,TRAMVAIE
INFORMATION TRANSFER,TRANSFER INFORMAȚIONAL
BLOOD TRANSFUSIONS,TRANSFUZII DE SÂNGE
FAX TRANSMISSION,TRANSMISIE PRIN FAX
DATA TRANSMISSION,TRANSMISII DE DATE
ELECTION BROADCASTING,TRANSMISIUNI AUDIOVIZUALE ALE ALEGERILOR
TRANSMISSION OF DISEASE,TRANSMITEREA BOLILOR
NEWS TRANSMISSION,TRANSMITEREA ȘTIRILOR
ORGAN TRANSPLANTATION,TRANSPLANT DE ORGANE
TRANSPORT,TRANSPORT
AIR TRANSPORT,TRANSPORT AERIAN
FREIGHT TRANSPORT,TRANSPORT DE MĂRFURI
RAILWAY TRANSPORT,TRANSPORT FEROVIAR
INLAND WATER TRANSPORT,TRANSPORT FLUVIAL
SEA TRANSPORT,TRANSPORT MARITIM
STUDENT TRANSPORTATION,TRANSPORT PENTRU STUDENȚI
PUBLIC TRANSPORT,TRANSPORT PUBLIC
RURAL TRANSPORT,TRANSPORT RURAL
ROAD TRANSPORT,TRANSPORT RUTIER
URBAN TRANSPORT,TRANSPORT URBAN
INSIDER TRADING,TRANZACȚII BAZATE PE INFORMAȚII INTERNE
OVERSEAS TRANSACTIONS,TRANZACȚII EXTERNE
SHOOTING (SPORT),TRAS CU ARMA (SPORT)
PERSONALITY TRAITS,TRĂSĂTURI DE PERSONALITATE
MEDICAL SELF-TREATMENT,TRATAMENT MEDICAL AUTOADMINISTRAT
DRUG THERAPY,TRATAMENT MEDICAMENTOS
DRUG-PSYCHOTHERAPY COMBINATION TREATMENT,TRATAMENT MEDICAMENTOS COMBINAT CU PSIHOTERAPIE
FERTILITY TREATMENT,TRATAMENT PENTRU FERTILITATE
DENTAL TREATMENT,TRATAMENT STOMATOLOGIC
TREATIES,TRATATE
TRANSITION FROM SCHOOL TO WORK,TRECEREA DE LA ȘCOALĂ LA MUNCĂ
TRAINS,TRENURI
ADMINISTRATIVE TRIBUNALS,TRIBUNALE ADMINISTRATIVE
INDUSTRIAL TRIBUNALS,TRIBUNALE ALE MUNCII
INTERNATIONAL COURTS,TRIBUNALE INTERNAȚIONALE
TRIBES,TRIBURI
TRUSTS,TRUSTURI
TUBERCULOSIS,TUBERCULOZĂ
CIVIL DISTURBANCES,TULBURĂRI CIVILE
COGNITION DISORDERS,TULBURĂRI COGNITIVE
CONGENITAL DISORDERS,TULBURĂRI CONGENITALE
EATING DISORDERS,TULBURĂRI DE ALIMENTAȚIE
ANXIETY DISORDERS,TULBURĂRI DE ANXIETATE
BEHAVIOURAL DISORDERS,TULBURĂRI DE COMPORTAMENT
LANGUAGE DISABILITIES,TULBURĂRI DE LIMBAJ
MEMORY DISORDERS,TULBURĂRI DE MEMORIE
PERSONALITY DISORDERS,TULBURĂRI DE PERSONALITATE
SLEEP DISORDERS,TULBURĂRI DE SOMN
VISION IMPAIRMENTS,TULBURĂRI DE VEDERE
EMOTIONAL DISTURBANCES,TULBURĂRI EMOȚIONALE
ENDOCRINE DISORDERS,TULBURĂRI ENDOCRINE
STOMACH DISORDERS,TULBURĂRI GASTRICE
GASTROINTESTINAL DISORDERS,TULBURĂRI GASTRO-INTESTINALE
MENTAL DISORDERS,TULBURĂRI MENTALE
NEUROTIC DISORDERS,TULBURĂRI NEVROTICE
OBSESSIVE COMPULSIVE DISORDER,TULBURĂRI OBSESIV-COMPULSIVE
PSYCHOTIC DISORDERS,TULBURĂRI PSIHOTICE
THYROID DISORDERS,TULBURĂRI TIROIDIENE
URINATION DISORDERS,TULBURĂRI URINARE
COMMUNICATION DISABILITIES,TULTURĂRI DE COMUNICARE
SCRUB,TUNDRĂ
TUNNELS,TUNELURI (TUNELE)
PEAT,TURBĂ
TOURISM,TURISM
CULTURAL TOURISM,TURISM CULTURAL
COUGHING,TUSE
APPRENTICES,UCENICI
DOORS,UȘI
POLITICAL UNIFICATION,UNIFICARE POLITICĂ
UNITS OF MEASUREMENT,UNITĂȚI DE MĂSURARE
EUROPEAN ECONOMIC AND MONETARY UNION,UNIUNEA ECONOMICĂ ȘI MONETARĂ (UNIUNEA EUROPEANĂ)
EUROPEAN UNION,UNIUNEA EUROPEANĂ
STUDENT UNIONS,UNIUNI STUDENȚEȘTI
URBANIZATION,URBANIZARE
BUILDING SERVICES,UTILITĂȚI PENTRU CLĂDIRI
COOKING FACILITIES,UTILITĂȚI PENTRU GĂTIT
MASS MEDIA USE,UTILIZARE MASS MEDIA
CREDIT CARD USE,UTILIZAREA CARDULUI DE CREDIT
BOOK USE,UTILIZAREA CĂRȚILOR
INFORMATION USE,UTILIZAREA INFORMAȚIEI
INTERNET USE,UTILIZAREA INTERNETULUI
INFORMATION USERS,UTILIZATORI AI INFORMAȚIEI
ROAD USERS,UTILIZATORII DRUMURILOR
INDUSTRIAL PLANTS,UZINE
HOLIDAYS,VACANȚE
SCHOOL HOLIDAYS,VACANȚE ȘCOLARE
EDUCATIONAL HOLIDAYS,VACANȚE EDUCAȚIONALE
WIDOWED,VĂDUVI
WIDOWHOOD,VĂDUVIE
VAGRANTS,VAGABONZI
VALUES,VALORI
ENTREPRENEURIAL VALUES,VALORI ANTREPRENORIALE
CULTURAL VALUES,VALORI CULTURALE
MORAL VALUES,VALORI MORALE
SOCIAL VALUES,VALORI SOCIALE
ECONOMIC VALUE,VALUARE ECONOMICĂ
CURRENCIES,VALUTĂ
SELLING,VÂNZARE
HIRE PURCHASE,VÂNZARE (CUMPĂRARE) ÎN RATE
HOME SELLING,VÂNZARE DE CASĂ
LANGUAGE VARIATIONS,VARIAȚII LINGVISTICE
SMALLPOX,VARIOLĂ
AGE,VÂRSTĂ
SCHOOL-LEAVING AGE,VÂRSTA LA IEȘIREA DIN SISTEMUL EDUCAȚIONAL
SPOUSE'S AGE,VÂRSTA SOȚULUI/SOȚIEI
ELDERLY,VÂRSTNICI
HOUSING AGE,VECHIMEA LOCUINȚEI
NEIGHBOURS,VECINI
SIGHT,VEDERE
VEGETATION,VEGETAȚIE
VEGETARIANISM,VEGETARIANISM
VEHICLES,VEHICULE
FARM VEHICLES,VEHICULE AGRICOLE
WATER VEHICLES,VEHICULE DE APĂ
ELECTRIC VEHICLES,VEHICULE ELECTRICE
ELECTRIC MOBILITY VEHICLES,VEHICULE ELECTRICE DE TRANSPORT
ROAD VEHICLES,VEHICULE RUTIERE
INCOME,VENIT
EDUCATIONAL INCOME,VENIT DIN EDUCAȚIE
MINIMUM WAGES,VENIT MINIM GARANTAT
NATIONAL INCOME,VENIT NAȚIONAL
UNEARNED INCOME,VENIT NEMUNCIT
INVESTMENT RETURN,VENITURI DIN INVESTIȚII
COUSINS,VERI
WAR VETERANS,VETERANI DE RĂZBOI
COMMUNITY LIFE,VIAȚA COMUNITĂȚII
EVERYDAY LIFE,VIAȚĂ COTIDIANĂ
CULTURAL LIFE,VIAȚĂ CULTURALĂ
FAMILY LIFE,VIAȚĂ DE FAMILIE
VILLAGE LIFE,VIAȚA LA SATE
OCCUPATIONAL LIFE,VIAȚĂ PROFESIONALĂ
SOCIAL LIFE,VIAȚĂ SOCIALĂ
VIBRATIONS,VIBRAȚII
CRIME VICTIMS,VICTIME ALE CRIMINALITĂȚILOR
WAR VICTIMS,VICTIME DE RĂZBOI
FUTURE,VIITOR
GUILT,VINĂ
SPIRITUAL HEALING,VINDECARE SPIRITUALĂ
DOMESTIC VIOLENCE,VIOLENȚĂ DOMESTICĂ
RETIREMENT AGE,VÎRSTĂ A PENSIONĂRII
EDUCATIONAL ADMISSION AGE,VÎRSTĂ DE INTRARE ÎN SISTEMUL EDUCAȚIONAL
LEGAL AGE,VÎRSTĂ LEGALĂ
VIRTUES AND VICES,VIRTUȚI ȘI VICII
CATTLE,VITE
VELOCITY,VITEZĂ
VIVISECTION,VIVISECȚIE
VISIBILITY,VIZIBILITATE
WATCHING,VIZIONARE
TELEVISION VIEWING,VIZIONAREA TELEVIZIUNII
VISITORS,VIZITATORI
EDUCATIONAL VISITS,VIZITE EDUCAȚIONALE
VISITS TO RECREATIONAL FACILITIES,VIZITE LA CENTRE DE RECREERE
HOME VISITS,VIZITE LA DOMICILIU
WORKLOADS,VOLUM DE MUNCĂ
MINORITY LANGUAGE USERS,VORBITORI DE LIMBI MINORITARE
VOTING,VOTARE
WEATHER,VREMEA
YOGA,YOGA
TRAFFIC NOISE,ZGOMOT DE TRAFIC
AGRICULTURAL NOISE,ZGOMOT ÎN AGRICULTURĂ
INDUSTRIAL NOISE,ZGOMOT INDUSTRIAL
WATER RECREATIONAL AREAS,ZONE ACVATICE DE RECREERE
ADMINISTRATIVE AREAS,ZONE ADMINISTRATIVE
ARID ZONES,ZONE ARIDE
CLIMATIC ZONES,ZONE CLIMATICE
SHOPPING AREAS,ZONE COMERCIALE
CAMPING SITES,ZONE DE CAMPING
OPEN SPACES AND RECREATIONAL AREAS,ZONE DE RECREAȚIE ȘI SPAȚII DESCHISE
INDUSTRIAL AREAS,ZONE INDUSTRIALE
METROPOLITAN AREAS,ZONE METROPOLITANE
POLAR REGIONS,ZONE POLARE
CONSERVATION AREAS,ZONE PROTEJATE
RESIDENTIAL AREAS,ZONE REZIDENȚIALE
CARAVAN SITES (RESIDENTIAL),ZONE REZIDENȚIALE DE CAMPING
RURAL AREAS,ZONE RURALE
TEMPERATE ZONES,ZONE TEMPERATE
TROPICAL ZONES,ZONE TROPICALE
HUMID ZONES,ZONE UMEDE
URBAN AREAS,ZONE URBANE
INNER CITIES,ZONE URBANE CENTRALE
GREEN BELT AREAS,ZONE VERZI
ZOOGEOGRAPHY,ZOOGEOGRAFIE
ZOOLOGY,ZOOLOGIE
ZOOPATHOLOGY,ZOOPATOLOGIE
